offense,ypa_Pass_off,ypa_Rush_off,ypa_Pass_def,ypa_Rush_def
Iowa,5.35769230769231,4.98939929328622,4.41891891891892,3.36690647482014
Iowa State,7.23834196891192,5.48636363636364,6.18673218673219,3.46306818181818
Jacksonville State,7.03448275862069,4.61333333333333,5.66666666666667,4.90277777777778
Kansas,3.07430340557276,3.80191693290735,7.28301886792453,5.68067226890756
Kansas State,5.84230769230769,4.36470588235294,6.5421052631579,5.45821325648415
Kent State,9.15267175572519,6.19587628865979,5.01960784313726,6.54088050314465
Kentucky,4.41472868217054,5.47596153846154,5.60916442048518,4.51406649616368
Liberty,7.08895705521472,6.47826086956522,4.77286135693215,5.04892966360856
Louisiana,6.76190476190476,5.9,4.35672514619883,4.36061946902655
Louisiana Monroe,4.59168704156479,3.90582959641256,8.99565217391304,5.62331838565022
Louisiana Tech,4.20360824742268,3.88178913738019,6.38762214983713,5.44871794871795
Louisville,6.71345029239766,5.8469387755102,5.7258064516129,5.24296675191816
LSU,6.44719101123596,4.10979228486647,8.18361581920904,5.56697819314642
Marshall,6.76450511945393,5.144,5.59305993690852,3.37341772151899
Maryland,6.43023255813954,5.98518518518519,5.3125,5.52678571428571
Memphis,6.97511312217195,4.63368983957219,6.36160714285714,4.56476683937824
Mercer,0.72,4,10.6,4.85245901639344
Miami,6.71219512195122,4.94601542416452,5.6551724137931,5.33928571428571
Miami (OH),8.03703703703704,4.35087719298246,7.32786885245902,4.15151515151515
Michigan,5.91818181818182,5.25,6.63720930232558,4.63453815261044
Michigan State,4.77906976744186,3.01345291479821,5.79457364341085,4.45488721804511
Middle Tennessee,4.97597597597598,4.40531561461794,6.14,5.83195592286501
Minnesota,6.22680412371134,5.30742049469965,6.78894472361809,6.53917050691244
Mississippi State,4.7326565143824,4.22754491017964,6.46376811594203,4.47802197802198
Missouri,6.61891891891892,3.98791540785499,6.90273556231003,5.12352941176471
Missouri State,0,3.5,12.475,4.09677419354839
Navy,5.45890410958904,3.66594360086768,7.19491525423729,5.3406862745098
NC State,6.11395348837209,4.30099502487562,5.5929203539823,4.86622807017544
Nebraska,5.76131687242798,5.00943396226415,6.0748031496063,4.84244372990354
Nevada,6.93351063829787,5.38888888888889,5.06194690265487,4.71280276816609
New Mexico,5.25541125541126,5.16117216117216,7.59227467811159,5.26872246696035
North Alabama,5.10280373831776,1.64705882352941,5.62162162162162,7.09821428571429
North Carolina,8.45780051150895,6.78165938864629,6.41395348837209,5.12814070351759
North Texas,7.20963172804533,5.60328638497653,6.83433734939759,6.71121718377088
Northern Illinois,5.57627118644068,4.13106796116505,8.625,5.07619047619048
Northwestern,4.99662162162162,3.91005291005291,4.44126074498567,4.7168458781362
Notre Dame,6.95833333333333,5.36743215031315,5.53846153846154,4.65325077399381
