offense,offense_conference,pass_rate_1,avg_distance_1,cfb_pass_rate_1,cfb_distance_1,pass_vs_avg_1,distance_vs_avg_1,pass_rate_2,avg_distance_2,cfb_pass_rate_2,cfb_distance_2,pass_vs_avg_2,distance_vs_avg_2,pass_rate_3,avg_distance_3,cfb_pass_rate_3,cfb_distance_3,pass_vs_avg_3,distance_vs_avg_3,pass_rate_4,avg_distance_4,cfb_pass_rate_4,cfb_distance_4,pass_vs_avg_4,distance_vs_avg_4
Auburn,SEC,0.418181818181818,10.0030303030303,0.424182273237249,9.89629182129398,-0.0141459354480719,0.0107857047532344,0.496062992125984,7.55905511811024,0.477410522198318,7.85425386270291,0.039070085514198,-0.0375845687894649,0.716981132075472,6.74842767295598,0.622215209845377,7.02600189334175,0.152304091463216,-0.0395067101602718,0.454545454545455,4.81818181818182,0.491049830672472,3.90711175616836,-0.0743394536497986,0.233182493583682
Austin Peay,,0.543478260869565,9.76086956521739,0.424182273237249,9.89629182129398,0.281237560263612,-0.0136841413452661,0.534883720930233,8.3953488372093,0.477410522198318,7.85425386270291,0.12038527862199,0.0688919640191232,0.714285714285714,7.31428571428571,0.622215209845377,7.02600189334175,0.147972121194558,0.0410309910700651,0.333333333333333,1.5,0.491049830672472,3.90711175616836,-0.321182266009852,-0.616084695393759
Ball State,Mid-American,0.35,9.91666666666667,0.424182273237249,9.89629182129398,-0.174883011190234,0.00205883635412276,0.473404255319149,7.37765957446809,0.477410522198318,7.85425386270291,-0.00839166020204492,-0.0606797662217168,0.60377358490566,6.64150943396226,0.622215209845377,7.02600189334175,-0.0296386598204494,-0.0547242180142097,0.230769230769231,3.92307692307692,0.491049830672472,3.90711175616836,-0.530049261083744,0.00408618127786029
Baylor,Big 12,0.507575757575758,10.1439393939394,0.424182273237249,9.89629182129398,0.196598230524985,0.0250242795096795,0.562189054726368,8.75124378109453,0.477410522198318,7.85425386270291,0.17757994134204,0.114204345068486,0.692307692307692,8.12587412587413,0.622215209845377,7.02600189334175,0.112649902080879,0.156543116445027,0.736842105263158,4.42105263157895,0.491049830672472,3.90711175616836,0.5005444646098,0.131539845155236
Boise State,Mountain West,0.420512820512821,9.77948717948718,0.424182273237249,9.89629182129398,-0.00865065080731412,-0.0118028695915644,0.522875816993464,7.75163398692811,0.477410522198318,7.85425386270291,0.0952331226085956,-0.0130655155242837,0.75,6.80208333333333,0.622215209845377,7.02600189334175,0.205370727254286,-0.0318699828732772,0.285714285714286,5,0.491049830672472,3.90711175616836,-0.418156228008445,0.279717682020802
Boston College,ACC,0.49025974025974,9.93181818181818,0.424182273237249,9.89629182129398,0.155776116050785,0.00358986589782658,0.6,8.0695652173913,0.477410522198318,7.85425386270291,0.256780008193363,0.0274133429415654,0.674074074074074,7.64444444444445,0.622215209845377,7.02600189334175,0.083345542519901,0.0880219733058668,0.5,5,0.491049830672472,3.90711175616836,0.0182266009852216,0.279717682020802
Bowling Green,Mid-American,0.350746268656716,9.91044776119403,0.424182273237249,9.89629182129398,-0.173123699913454,0.0014304287055877,0.376237623762376,7.47524752475248,0.477410522198318,7.85425386270291,-0.211920126875449,-0.0482549131433358,0.569230769230769,7.4,0.622215209845377,7.02600189334175,-0.0851545249557218,0.0532305729966675,0.928571428571429,7.92857142857143,0.491049830672472,3.90711175616836,0.890992258972555,1.02926661006156
Buffalo,Mid-American,0.308411214953271,9.77102803738318,0.424182273237249,9.89629182129398,-0.272927620007416,-0.0126576485589552,0.313333333333333,7.2,0.477410522198318,7.85425386270291,-0.343681551276799,-0.0832993017719653,0.45679012345679,5.79012345679012,0.622215209845377,7.02600189334175,-0.265864742248419,-0.175900669443715,0.461538461538462,2.30769230769231,0.491049830672472,3.90711175616836,-0.0600985221674877,-0.409361069836553
BYU,FBS Independents,0.523809523809524,9.7719298245614,0.424182273237249,9.89629182129398,0.234868962844548,-0.0125665248133632,0.388663967611336,7.62348178137652,0.477410522198318,7.85425386270291,-0.185891492668267,-0.029381795567145,0.537878787878788,6.96212121212121,0.622215209845377,7.02600189334175,-0.135542205706523,-0.0090920387142328,0.636363636363636,2.81818181818182,0.491049830672472,3.90711175616836,0.295924764890282,-0.278704579224639
California,Pac-12,0.504273504273504,9.71794871794872,0.424182273237249,9.89629182129398,0.188813243950579,-0.0180212049690691,0.48936170212766,7.61702127659575,0.477410522198318,7.85425386270291,0.0250333400158637,-0.0302043440731784,0.617647058823529,7.10294117647059,0.622215209845377,7.02600189334175,-0.00734175402588247,0.0109506493588839,0.875,2.5,0.491049830672472,3.90711175616836,0.781896551724138,-0.360141158989599
