offense,offense_conference,pass_rate_standard_downs,cfb_pass_standard,pass_vs_avg_standard,pass_rate_passing_downs,cfb_pass_passing,pass_vs_avg_passing
Florida Atlantic,Conference USA,0.336477987421384,0.405482481666861,-0.170178731179243,0.602941176470588,0.634010190319197,-0.0490039660608084
Florida International,Conference USA,0.434065934065934,0.405482481666861,0.0704924471251441,0.553719008264463,0.634010190319197,-0.126640207493054
Florida State,ACC,0.421182266009852,0.405482481666861,0.0387187734435597,0.626609442060086,0.634010190319197,-0.0116729168901607
Fresno State,Mountain West,0.52317880794702,0.405482481666861,0.29026241971375,0.7,0.634010190319197,0.104083200378183
Georgia,SEC,0.384782608695652,0.405482481666861,-0.0510499809661697,0.666666666666667,0.634010190319197,0.0515078098839842
Georgia Southern,Sun Belt,0.181657848324515,0.405482481666861,-0.551995816002323,0.353658536585366,0.634010190319197,-0.442187930122521
Georgia State,Sun Belt,0.319838056680162,0.405482481666861,-0.211216091591999,0.630952380952381,0.634010190319197,-0.00482296564551495
Georgia Tech,ACC,0.389016018306636,0.405482481666861,-0.0406095555411766,0.545816733067729,0.634010190319197,-0.139104163620882
Hawai'i,Mountain West,0.467336683417086,0.405482481666861,0.152544695632605,0.651452282157676,0.634010190319197,0.0275107436833124
Houston,American Athletic,0.457894736842105,0.405482481666861,0.129258987860062,0.665071770334928,0.634010190319197,0.0489922409608169
Houston Baptist,,0.644970414201183,0.405482481666861,0.590624609847098,0.886075949367089,0.634010190319197,0.397573671364789
Illinois,Big Ten,0.284829721362229,0.405482481666861,-0.297553570769941,0.59375,0.634010190319197,-0.0635008568220765
Indiana,Big Ten,0.41340782122905,0.405482481666861,0.0195454549099385,0.739130434782609,0.634010190319197,0.165802137045287
Iowa,Big Ten,0.397260273972603,0.405482481666861,-0.0202775904410421,0.646067415730337,0.634010190319197,0.0190174000280185
Iowa State,Big 12,0.366492146596859,0.405482481666861,-0.096157878164601,0.695652173913044,0.634010190319197,0.0972255407485053
Jacksonville State,,0.376344086021505,0.405482481666861,-0.0718610469324666,0.575,0.634010190319197,-0.0930745139750637
Kansas,Big 12,0.415094339622642,0.405482481666861,0.0237047428442983,0.637735849056604,0.634010190319197,0.00587633888901884
Kansas State,Big 12,0.32987012987013,0.405482481666861,-0.186475014866001,0.618604651162791,0.634010190319197,-0.0242985671076518
Kent State,Mid-American,0.392241379310345,0.405482481666861,-0.0326551773632346,0.43010752688172,0.634010190319197,-0.321607864590978
Kentucky,SEC,0.298056155507559,0.405482481666861,-0.26493456811671,0.568720379146919,0.634010190319197,-0.10297911953025
Liberty,FBS Independents,0.354014598540146,0.405482481666861,-0.126929979601437,0.556962025316456,0.634010190319197,-0.121525120856418
Louisiana,Sun Belt,0.380081300813008,0.405482481666861,-0.062644336074479,0.531120331950207,0.634010190319197,-0.162284234449274
Louisiana Monroe,Sun Belt,0.557291666666667,0.405482481666861,0.374391476484379,0.786290322580645,0.634010190319197,0.240185622544619
